batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
D	CNP	CNP0005627	Level 1+2	1	1	10.1038/s41467-024-53756-7	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005627/		data/CNP/CNP0005627	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005654	Level 1+2	1	1	10.1016/j.isci.2025.113626	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005654/		data/CNP/CNP0005654	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005824	Level 2	1	1	10.1038/s41392-025-02143-9	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005824/		data/CNP/CNP0005824	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0005964	Level 1+2	1	1	10.1038/s41467-026-69518-6	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0005964/		data/CNP/CNP0005964	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0006024	Level 2	1	1	10.1016/j.xcrm.2024.101914	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0006024/		data/CNP/CNP0006024	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0006081	Level 1+2	1	1	10.1073/pnas.2420466122	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0006081/		data/CNP/CNP0006081	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0006169	Level 2	1	1	10.1002/advs.202411126	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0006169/		data/CNP/CNP0006169	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0007731	Level 2	1	1	10.1093/bib/bbaf718	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0007731/		data/CNP/CNP0007731	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0008257	Level 1+2	1	1	10.1093/gigascience/giag023	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0008257/		data/CNP/CNP0008257	login CNGBdb; processed matrices only (skip FASTQ)	
E	GSE	GSE107451	Level 2	8	1	10.1038/s41467-025-58614-8	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107451		data/GSE/GSE107451	python3 download_geo.py	
E	GSE	GSE109796	Level 2	8	1	10.3389/fcell.2023.1112062	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109796		data/GSE/GSE109796	python3 download_geo.py	
E	GSE	GSE110686	Level 2	2	1	10.1038/s41467-023-44560-w	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110686		data/GSE/GSE110686	python3 download_geo.py	
